,image_id,path,height,width,viewpoint,date,timestamp,whale_id,encounter_id,count,fold,image,individual_id
0,train0000,images/train0000.jpg,463,150,top,2017-08-07,2017-08-07 20:38:36,whale000,whale000-000,1,0,train0000.jpg,whale000
1,train0001,images/train0001.jpg,192,81,top,2019-08-05,2019-08-05 16:49:13,whale001,whale001-000,8,0,train0001.jpg,whale001
2,train0002,images/train0002.jpg,625,183,top,2017-08-07,2017-08-07 22:12:19,whale002,whale002-000,4,0,train0002.jpg,whale002
3,train0003,images/train0003.jpg,673,237,top,2017-08-07,2017-08-07 20:40:59,whale003,whale003-000,28,0,train0003.jpg,whale003
4,train0004,images/train0004.jpg,461,166,top,2018-08-10,2018-08-10 21:45:30,whale004,whale004-000,13,0,train0004.jpg,whale004
5,train0005,images/train0005.jpg,365,137,top,2018-08-30,2018-08-30 00:15:02,whale005,whale005-000,8,0,train0005.jpg,whale005
6,train0006,images/train0006.jpg,341,1212,right,2017-08-03,2017-08-03 18:03:18,whale006,whale006-000,6,0,train0006.jpg,whale006
7,train0007,images/train0007.jpg,499,151,top,2018-08-10,2018-08-10 22:27:11,whale007,whale007-000,33,0,train0007.jpg,whale007
8,train0008,images/train0008.jpg,165,73,top,2019-08-26,2019-08-26 11:48:32,whale008,whale008-000,27,0,train0008.jpg,whale008
9,train0009,images/train0009.jpg,455,163,top,2019-08-29,2019-08-29 13:50:31,whale009,whale009-000,34,0,train0009.jpg,whale009
10,train0010,images/train0010.jpg,589,189,top,2018-08-30,2018-08-30 00:24:41,whale010,whale010-000,77,0,train0010.jpg,whale010
11,train0011,images/train0011.jpg,443,157,top,2019-08-26,2019-08-26 10:41:47,whale011,whale011-000,15,0,train0011.jpg,whale011
12,train0012,images/train0012.jpg,482,172,top,2018-08-10,2018-08-10 21:16:53,whale012,whale012-000,11,0,train0012.jpg,whale012
13,train0013,images/train0013.jpg,487,180,top,2019-08-31,2019-08-31 20:52:59,whale013,whale013-000,51,0,train0013.jpg,whale013
14,train0014,images/train0014.jpg,365,139,top,2019-08-31,2019-08-31 20:55:28,whale014,whale014-000,4,1,train0014.jpg,whale014
15,train0015,images/train0015.jpg,592,196,top,2019-08-29,2019-08-29 13:22:50,whale015,whale015-000,100,0,train0015.jpg,whale015
16,train0016,images/train0016.jpg,364,144,top,2017-08-04,2017-08-04 20:49:10,whale016,whale016-000,5,0,train0016.jpg,whale016
17,train0017,images/train0017.jpg,359,127,top,2017-08-05,2017-08-05 21:23:43,whale017,whale017-000,6,0,train0017.jpg,whale017
18,train0018,images/train0018.jpg,554,462,top,2017-08-05,2017-08-05 00:00:00,whale018,whale018-000,21,0,train0018.jpg,whale018
19,train0019,images/train0019.jpg,526,185,top,2019-08-29,2019-08-29 13:17:51,whale010,whale010-001,77,0,train0019.jpg,whale010
20,train0020,images/train0020.jpg,458,119,top,2017-08-03,2017-08-03 18:36:52,whale019,whale019-000,7,0,train0020.jpg,whale019
21,train0021,images/train0021.jpg,307,120,top,2017-08-05,2017-08-05 22:45:55,whale020,whale020-000,2,0,train0021.jpg,whale020
22,train0022,images/train0022.jpg,575,202,top,2018-08-29,2018-08-29 22:40:34,whale021,whale021-000,7,0,train0022.jpg,whale021
23,train0023,images/train0023.jpg,560,198,top,2019-08-28,2019-08-28 12:44:31,whale022,whale022-000,49,0,train0023.jpg,whale022
24,train0024,images/train0024.jpg,545,258,top,2018-08-09,2018-08-09 18:54:11,whale022,whale022-001,49,0,train0024.jpg,whale022
25,train0025,images/train0025.jpg,676,224,top,2017-08-04,2017-08-04 21:00:09,whale023,whale023-000,3,2,train0025.jpg,whale023
26,train0026,images/train0026.jpg,385,106,top,2019-08-29,2019-08-29 13:08:21,whale024,whale024-000,50,0,train0026.jpg,whale024
27,train0027,images/train0027.jpg,585,213,top,2018-08-25,2018-08-25 22:05:30,whale025,whale025-000,9,0,train0027.jpg,whale025
28,train0028,images/train0028.jpg,433,91,top,2018-08-10,2018-08-10 22:42:38,whale026,whale026-000,13,0,train0028.jpg,whale026
29,train0029,images/train0029.jpg,389,148,top,2019-08-26,2019-08-26 09:36:05,whale027,whale027-000,24,0,train0029.jpg,whale027
30,train0030,images/train0030.jpg,259,102,top,2019-08-26,2019-08-26 10:08:14,whale008,whale008-001,27,0,train0030.jpg,whale008
31,train0031,images/train0031.jpg,633,220,top,2018-08-25,2018-08-25 22:22:48,whale028,whale028-000,59,0,train0031.jpg,whale028
32,train0032,images/train0032.jpg,517,169,top,2018-08-10,2018-08-10 23:11:57,whale015,whale015-001,100,0,train0032.jpg,whale015
33,train0033,images/train0033.jpg,655,212,top,2018-08-30,2018-08-30 00:52:33,whale029,whale029-000,12,0,train0033.jpg,whale029
34,train0034,images/train0034.jpg,479,167,top,2019-08-05,2019-08-05 18:14:55,whale030,whale030-000,12,0,train0034.jpg,whale030
35,train0035,images/train0035.jpg,775,286,top,2017-08-19,2017-08-19 19:56:43,whale031,whale031-000,2,0,train0035.jpg,whale031
36,train0036,images/train0036.jpg,547,162,top,2019-08-28,2019-08-28 12:42:42,whale032,whale032-000,10,0,train0036.jpg,whale032
37,train0037,images/train0037.jpg,431,167,top,2019-08-30,2019-08-30 15:07:16,whale033,whale033-000,16,0,train0037.jpg,whale033
38,train0038,images/train0038.jpg,414,108,top,2017-08-07,2017-08-07 19:58:12,whale034,whale034-000,29,0,train0038.jpg,whale034
39,train0039,images/train0039.jpg,449,137,top,2019-08-26,2019-08-26 10:31:48,whale035,whale035-000,40,0,train0039.jpg,whale035
40,train0040,images/train0040.jpg,577,116,top,2019-08-26,2019-08-26 09:36:05,whale036,whale036-000,73,0,train0040.jpg,whale036
41,train0041,images/train0041.jpg,490,185,top,2019-08-29,2019-08-29 13:18:45,whale010,whale010-001,77,0,train0041.jpg,whale010
42,train0042,images/train0042.jpg,468,159,top,2019-08-28,2019-08-28 12:25:53,whale037,whale037-000,32,0,train0042.jpg,whale037
43,train0043,images/train0043.jpg,526,182,top,2017-08-05,2017-08-05 22:35:36,whale038,whale038-000,8,0,train0043.jpg,whale038
44,train0044,images/train0044.jpg,320,140,top,2017-08-07,2017-08-07 22:45:32,whale039,whale039-000,13,0,train0044.jpg,whale039
45,train0045,images/train0045.jpg,133,53,top,2019-08-29,2019-08-29 14:51:00,whale040,whale040-000,9,0,train0045.jpg,whale040
46,train0046,images/train0046.jpg,497,155,top,2018-08-08,2018-08-08 18:48:02,whale041,whale041-000,26,0,train0046.jpg,whale041
47,train0047,images/train0047.jpg,384,134,top,2018-08-30,2018-08-30 00:12:08,whale042,whale042-000,11,0,train0047.jpg,whale042
48,train0048,images/train0048.jpg,261,125,top,2018-08-09,2018-08-09 00:10:03,whale043,whale043-000,2,3,train0048.jpg,whale043
49,train0049,images/train0049.jpg,269,128,top,2017-08-07,2017-08-07 22:13:17,whale044,whale044-000,1,0,train0049.jpg,whale044
50,train0050,images/train0050.jpg,311,124,top,2019-08-28,2019-08-28 12:31:31,whale045,whale045-000,19,0,train0050.jpg,whale045
51,train0051,images/train0051.jpg,427,136,top,2017-08-04,2017-08-04 20:47:14,whale046,whale046-000,1,0,train0051.jpg,whale046
52,train0052,images/train0052.jpg,422,165,top,2019-08-05,2019-08-05 18:15:46,whale030,whale030-000,12,0,train0052.jpg,whale030
53,train0053,images/train0053.jpg,488,189,top,2017-08-24,2017-08-24 21:07:35,whale047,whale047-000,11,0,train0053.jpg,whale047
54,train0054,images/train0054.jpg,243,117,top,2017-08-23,2017-08-23 00:43:07,whale048,whale048-000,1,2,train0054.jpg,whale048
55,train0055,images/train0055.jpg,457,170,top,2019-08-30,2019-08-30 14:46:53,whale049,whale049-000,28,0,train0055.jpg,whale049
56,train0056,images/train0056.jpg,299,97,top,2019-08-29,2019-08-29 12:55:35,whale050,whale050-000,37,0,train0056.jpg,whale050
57,train0057,images/train0057.jpg,302,79,top,2019-08-05,2019-08-05 17:50:48,whale012,whale012-001,11,0,train0057.jpg,whale012
58,train0058,images/train0058.jpg,321,75,top,2019-08-29,2019-08-29 13:08:37,whale024,whale024-000,50,0,train0058.jpg,whale024
59,train0059,images/train0059.jpg,349,128,top,2017-08-04,2017-08-04 20:48:13,whale051,whale051-000,1,3,train0059.jpg,whale051
